representative	clustername	nObs	min_qupm	max_qupm	nCoeffsH0	nCoeffsH1	rssH0	rssH1	df1	df2	F_statistic	pEC50H1	slopeH1	pEC50_slopeH1	detected_effectH1	nObsRound	pi	FDR
BLC	BLC	50	2	7	10	24	14.2961242350261	0.580305150324606	14	26	46.0048382379343	6.58136988429579	3.51310239965066	0.0156885540538049	expression/solubility	50	0.954595908874676	0.00110999524287753
DEF	DEF	50	6	8	10	24	6.02671678163126	0.22543233818869	14	26	45.9895963803843	6.60785602280517	2.24540610361741	-0.00162341180057334	stability	50	0.953538770548126	0.00108356678471378
AHR	AHR	50	4	6	10	24	6.31177911791913	0.239690458227873	14	26	45.6363238103446	6.06564333270396	3.4383585697822	0.00687467270794004	expression/solubility	50	0.952481632221576	0.00105831292469064
MOAB	MOAB	50	8	8	10	24	4.59124534229357	0.166400787191736	14	26	45.3677813472547	6.37488158806523	2.97374337437182	0.0111581380441787	expression/solubility	50	0.951424493895026	0.00103415705858155
ISCR	ISCR	50	6	7	10	24	25.4091826520481	1.10181055670897	14	26	44.1234059855822	6.39795765352296	4.9744715170239	-0.00552074910788332	expression/solubility	50	0.950367355568476	0.00101102910166859
GSIB	GSIB	50	6	11	10	24	4.90220194937958	0.186800293578654	14	26	43.8969818927969	6.38233095415897	2.49968568595509	0.0112225649440742	expression/solubility	50	0.949310217241926	0.000988864809627006
YHJX	YHJX	50	2	4	10	24	133.176516938196	5.9637162028165	14	26	43.7563166006246	7.50607442115468	2.37632066591242	0.015544218374393	expression/solubility	50	0.948253078915376	0.00096760518256671
CLPA	CLPA	30	21	32	6	16	13.1034195895365	0.456373849315202	10	14	43.480332050538	6.38873152872569	3.30630993888399	0.0107286089529445	expression/solubility	30	0.964074579354252	0.0120509322419281
HISB	HISB	40	6	15	8	20	14.1292969137315	0.572202428803214	12	20	42.6166524817113	5.69897000433602	-3.45850902802986	-0.0173058693846662	stability	40	0.957232873039281	0.00299135272824775
YDBK	YDBK	40	4	28	8	20	3.01084117317437	0.0909722385533022	12	20	41.964498526529	7.46013141361515	-6.69818806403795	0.00999440315181629	stability	40	0.954679538750335	0.00561576199264903
YHBW	YHBW	30	8	11	6	16	20.9856756435399	0.786284121178784	10	14	41.8297448782804	6.41393253030809	3.78326542719644	0.00875444224129845	expression/solubility	30	0.961910176236498	0.0141457378858309
RNG	RNG	40	3	18	8	20	5.92011460017668	0.220137821173089	12	20	41.8227809608982	6.68079152351527	-4.19268055382723	0.0123592125236296	stability	40	0.951997854652722	0.0052888769702929
FRDC	FRDC	50	3	4	10	24	5.45063534383598	0.223983131006923	14	26	41.6662108715614	7.09335240957232	-4.89236415754949	0.0100127140989863	expression/solubility	50	0.947195940588826	0.000947195940588826
FRDA	FRDA	50	4	29	10	24	6.03784693412979	0.254963808414562	14	26	41.1721035650498	5.96458425952781	-5.27615530960148	-0.0150029927141689	expression/solubility	50	0.946138802262276	0.000927587061041447
CSPG	CSPG	40	2	2	8	20	13.4069414470513	0.582033397870309	12	20	39.6816857675141	6.151240925102	-4.25999575722987	0.00394622618830163	expression/solubility	40	0.949316170555109	0.00499640089765847
HYBA	HYBA	50	3	5	10	24	6.61365995309941	0.293813162890213	14	26	39.6762585236107	6.72790142915231	-6.58608682115765	-0.00270274654718185	expression/solubility	50	0.945081663935726	0.000908732369168967
NANA	NANA	50	11	14	10	24	25.4292714837651	1.22534782980558	14	26	39.6285628985375	5.70607668082751	-4.95828010499819	-0.0017636215484578	expression/solubility	50	0.944024525609176	0.000890589175102996
TAS	TAS	30	9	10	6	16	2.87542713857427	0.0787685770325593	10	14	39.3453964964119	6.49049362429828	2.4861786097783	0.013635590153943	expression/solubility	30	0.959636156907334	0.0133282799570463
GLPQ	GLPQ	50	8	17	10	24	17.8158825613951	0.883273099734571	14	26	38.0527530780159	6.4396275797374	-5.76054661452741	0.000314925105287819	expression/solubility	50	0.942967387282626	0.000873117951187617
FUMA	FUMA	40	2	21	8	20	17.8038952826942	0.829357687460511	12	20	37.643515953622	6.38763631554046	-4.72452757228653	-0.00304502399161858	expression/solubility	40	0.946761432211345	0.00710071074158509
MSCS	MSCS	40	2	6	8	20	4.93807018766321	0.200622125381927	12	20	37.5363348129596	6.39716349580205	2.87682700968734	0.009511255726243	expression/solubility	40	0.944079388494032	0.0067434242035288
GLTA	GLTA	50	14	17	10	24	3.90960716031043	0.173913978514206	14	26	36.9233960691699	5.70567561933098	4.7182433920988	-0.0173292983575672	expression/solubility	50	0.941910248956076	0.000856282044505524
ASPS	ASPS	50	12	43	10	24	3.80781431271959	0.172407495530653	14	26	36.1933673496206	6.53668774085758	-5.7103141308499	-0.0114379738880729	stability	50	0.940853110629526	0.000840047420204934
DKGA	DKGA	30	13	14	6	16	4.72298065722684	0.177010475992484	10	14	35.4427730479126	6.38627177640338	3.45156201177842	0.0137749599888484	expression/solubility	30	0.957362137578169	0.0125968702312917
YHIN	YHIN	40	6	10	8	20	6.09142282141402	0.276927739106172	12	20	35.1077166097399	6.69241822191105	4.20256718322049	-0.00396556772946304	stability	40	0.941523605150215	0.00855930550136559
NUPG	NUPG	30	2	2	6	16	1.64816693163946	0.0357699749754861	10	14	35.0125506517307	7.03003190300634	-4.14006923215528	0.00933291280172357	expression/solubility	30	0.955088118249005	0.0119386014781126
GLCB	GLCB	30	18	22	6	16	2.06704933300831	0.0555300814439816	10	14	34.9504144676932	6.58762866971256	7.70135209562179	0.00200959636995116	stability	30	0.952814098919841	0.011343024987141
GATY	GATY	40	7	12	8	20	6.15064861605975	0.283971366359465	12	20	34.6614599419643	6.24021918791718	-3.77061636562176	0.00595832125424862	expression/solubility	40	0.938841201716738	0.00816383653666729
AROC	AROC	40	10	13	8	20	1.4441442232013	0.0356060669421836	12	20	34.3672470285227	6.6802725097811	-2.05348647305693	0.00856949436864193	stability	40	0.936158798283262	0.00780132331902718
NUOJ	NUOJ	50	2	4	10	24	4.2237494638473	0.206623501557143	14	26	34.3263763153802	6.8836141669363	-4.91621392474618	0.00620509327017919	expression/solubility	50	0.93984564964584	0.00164885201692253
ALLE	ALLE	30	2	3	6	16	2.27014136588302	0.0669838645297057	10	14	34.3062513351987	6.51346972000051	2.58864951396585	0.0137920481007518	expression/solubility	30	0.950540079590677	0.0108015918135304
PNCA	PNCA	40	2	4	8	20	60.6572558964838	3.23031526852828	12	20	33.9616407928771	5.69897000433602	-1.69426600868499	-0.00838873915733948	stability	40	0.933476394849785	0.00746781115879828
EPMB	EPMB	40	3	7	8	20	8.98809217956659	0.443969612198899	12	20	33.9200896619897	6.50053642924555	-2.92664617997348	-0.00167027632223105	expression/solubility	40	0.930793991416309	0.00715995378012545
YAGF	YAGF	40	5	9	8	20	7.88019582592316	0.402393380418243	12	20	32.4533260062679	5.76276574285526	-5.74937816926313	0.000787755590657173	expression/solubility	40	0.928111587982833	0.00687490065172469
HDHA	HDHA	50	4	10	10	24	4.3291792099135	0.229025509167221	14	26	32.0612807309956	6.45714322467474	2.73333194439785	0.0157812035892224	expression/solubility	50	0.938788455439264	0.00161860078524011
USPA	USPA	50	4	4	10	24	4.88789731340414	0.264231244934119	14	26	31.8987992097544	6.49569352046759	2.80320151402339	0.0152323589155954	expression/solubility	50	0.937731261232688	0.00158937501903846
SDAC	SDAC	50	7	8	10	24	1.23283565786925	0.0434904725012397	14	26	31.3297609855344	6.97900295032688	-4.33619523017252	0.00540949710143102	expression/solubility	50	0.936674067026113	0.00156112344504352
POTF	POTF	40	2	7	8	20	3.76176193175772	0.188270059324286	12	20	29.8212787253503	6.42281687536644	2.74986950907582	0.0134385781464832	expression/solubility	40	0.925553319919517	0.00826386892785283
BIOB	BIOB	40	3	6	8	20	2.67861937005313	0.122909919786271	12	20	29.6919520090967	6.84486951478852	-4.92519679314683	0.0072397795823309	expression/solubility	40	0.922870556673374	0.00795578066097736
GLGC	GLGC	50	10	13	10	24	3.97571600688975	0.228355943680607	14	26	29.3771462544524	6.54692941680331	2.25996305361126	0.0152855826075214	expression/solubility	50	0.935616872819537	0.00153379815216318
UCPA	UCPA	40	7	10	8	20	4.40331825138637	0.231921866218624	12	20	29.2986922392121	5.69897000433602	-1.78217658061919	-0.00555710537513232	expression/solubility	40	0.92018779342723	0.00766823161189358
PFLA	PFLA	50	2	11	10	24	3.65995328883539	0.20972596058179	14	26	29.1082172119321	6.85773997097671	-2.82882060986899	0.00654982440848854	stability	50	0.934559678612961	0.00150735432034349
GDHA	GDHA	40	2	17	8	20	10.3963934310976	0.609553904028717	12	20	29.0059521885838	7.52830705382185	3.97504364229177	0.0264907250067813	expression/solubility	40	0.917505030181087	0.0073992341143636
YEHZ	YEHZ	30	2	3	6	16	5.79147876072907	0.286131018495	10	14	28.7070517714013	5.96851850774908	3.3728382742063	0.00141077938967513	expression/solubility	30	0.948481746844081	0.0144334178867577
MNMA	MNMA	50	8	16	10	24	1.51423417098262	0.0694174658645709	14	26	28.5943115170669	6.3389591422461	-1.40564938803654	0.00994798036194859	stability	50	0.933502484406386	0.00148174997524823
PRLC	PRLC	40	8	37	8	20	11.3470319468439	0.682474812470491	12	20	28.4335905861718	7.31816931374144	7.99292365739965	-0.000662464198217717	stability	40	0.914822266934943	0.00714704896042924
YJBD	YJBD	30	2	2	6	16	6.52557214529423	0.332866548914518	10	14	28.2798193066287	6.41074621453182	3.37452157344396	0.0116273985966211	expression/solubility	30	0.946207210280905	0.0137988551499299
DADX	DADX	50	6	14	10	24	4.22728777664489	0.256552773404848	14	26	28.1160833708811	6.12030733750978	-5.41830262912118	0.00564280148070225	stability	50	0.93244529019981	0.0014569457659372
HTPX	HTPX	50	2	5	10	24	7.63915388304435	0.495866347594549	14	26	27.7717783993559	7.69897000433602	-2.27868964186117	0.0181809464497652	stability	50	0.931388095993234	0.00143290476306651
GSHB	GSHB	50	10	16	10	24	2.92637059778829	0.169968194606985	14	26	27.7690268966051	6.42189587626786	2.73645467865939	0.0148320440404127	expression/solubility	50	0.930330901786658	0.00140959227543433
ARGT	ARGT	50	7	10	10	24	6.13220407247125	0.392084285134518	14	26	27.7415537703348	6.54986463652932	1.8053268670755	0.0110250818502887	expression/solubility	50	0.929273707580082	0.00138697568295535
SUFC	SUFC	40	4	12	8	20	7.35669135184669	0.439616838496183	12	20	27.7080101073826	6.58799486303882	7.61373233268538	-0.00616574455539143	expression/solubility	40	0.912139503688799	0.00691014775521818
NUOH	NUOH	40	2	3	8	20	2.23959796399348	0.105687845992372	12	20	27.6486375460049	7.1616640848516	-4.88981918806232	0.0127194948308124	expression/solubility	40	0.909456740442656	0.00668718191501953
NARG	NARG	50	11	15	10	24	4.54846689190008	0.285829306726292	14	26	27.4273048970489	6.21302773963997	-7.91984478205957	-0.0134720473870036	expression/solubility	50	0.928216513373507	0.0013650242843728
YCII	YCII	50	2	2	10	24	7.23296924106482	0.47618699397416	14	26	27.2807343584931	5.80521767520108	6.01654648211032	-0.0111368848261533	expression/solubility	50	0.927159319166931	0.00134370915821294
FLDA	FLDA	50	4	8	10	24	4.14909950816149	0.261049221379426	14	26	27.112235440446	6.73555351941711	3.34310366652833	-0.00497935887264541	stability	50	0.926102124960355	0.00132300303565765
OMPF	OMPF	50	13	17	10	24	4.66720525473574	0.298126380713658	14	26	27.0739364084873	5.69897000433602	-3.37864380137802	-0.00948790080880461	expression/solubility	50	0.925044930753779	0.00130288018416025
SRA	SRA	50	3	5	10	24	9.40513991344372	0.635859366499062	14	26	26.9770951820438	6.0381008925971	3.17242476642516	0.00557462035403825	expression/solubility	50	0.923987736547204	0.00128331630076001
SSTT	SSTT	50	4	5	10	24	3.58892048654686	0.224526947080876	14	26	26.7642844391467	5.92231176505676	1.90524427927437	-0.0101639826664121	expression/solubility	50	0.922930542340628	0.00126428841416524
MIAB	MIAB	50	5	28	10	24	5.5983785884514	0.370999715370054	14	26	26.5760446060354	5.72954272651191	-2.96999816868967	-0.0176214813134862	stability	50	0.921873348134052	0.00124577479477575
RBN	RBN	50	5	7	10	24	2.04591553880175	0.115696637589827	14	26	26.4565353105141	6.02332244620786	-3.78748702726268	-0.0159734126658357	stability	50	0.920816153927477	0.0012277548719033
FUCO	FUCO	50	6	10	10	24	5.0420014627007	0.336617029078025	14	26	26.1365259870143	6.36254344737362	3.41019111618436	-0.00399620420809713	stability	50	0.919758959720901	0.0012102091575275
RSXB	RSXB	50	3	6	10	24	4.19185755219387	0.277878413733479	14	26	25.8242261083763	7.10638589077186	-3.48520145989541	0.00605325614462974	stability	50	0.918701765514325	0.00119311917599263
YGIM	YGIM	50	9	11	10	24	2.4495231291355	0.14976645670623	14	26	25.704038129579	6.29183576685023	-5.54564962594862	0.00811858530844846	expression/solubility	50	0.917644571307749	0.0011764673991125
FLGH	FLGH	40	2	2	8	20	5.18229942359447	0.329797643937554	12	20	25.1523887519389	6.33776246911658	-4.1270681153128	0.00807300338198958	stability	40	0.906895626509257	0.00777339108436506
LPXC	LPXC	30	3	12	6	16	20.1025295141788	1.24490766332556	10	14	25.148816814378	5.69897000433602	2.06616101649141	-0.0187255131388951	expression/solubility	30	0.944040036396724	0.0151046405823476
ISPG	ISPG	50	12	24	10	24	12.7444179802583	0.943373151204955	14	26	24.891164484775	6.62549565359537	-4.56258402542823	-0.00445671914992773	stability	50	0.916587377101174	0.00116023718620402
YBIH	YBIH	30	4	4	6	16	2.43611735713419	0.11764487409866	10	14	24.7414616057154	6.57665667708895	2.61114184786512	0.0191558388755951	expression/solubility	30	0.941765241128298	0.0144886960173584
FLIY	FLIY	50	14	20	10	24	4.42208054937678	0.310315129151654	14	26	24.5796507420147	6.4504419253884	2.60966291908405	0.0149301380377064	expression/solubility	50	0.915530182894598	0.00114441272861825
YBIX	YBIX	50	4	8	10	24	64.4142190206785	5.02085472181205	14	26	24.2389507177382	7.16840287048397	4.91135041392485	0.00438481662114544	expression/solubility	50	0.914472988688022	0.00112897899838027
PEPT	PEPT	40	2	12	8	20	14.5541385226675	1.04798658788496	12	20	23.9537703298014	6.32118099650872	8.96976561397968	-0.0182724241166435	stability	40	0.904333825305246	0.00879213441268989
HEMH	HEMH	30	5	9	6	16	5.72564607395575	0.343239006240341	10	14	23.9199961126316	6.7483703397578	-41.1296358421215	0.000207506026084251	stability	30	0.939597315436242	0.0156599552572707
